"State or Territory	","Number With Current Asthma	",Percent With Current Asthma (SE)
Alabama,"394,199",10.1 (0.62)
Alaska,"49,453",9.0 (0.58)
Arizona,"519,749",9.4 (0.39)
Arkansas,"207,857",9.0 (0.62)
California,"2,694,396",8.8 (0.45)
Colorado,"476,932",10.4 (0.37)
Connecticut,"300,910",10.5 (0.48)
Delaware,"77,695",9.8 (0.69)
District of Columbia,"64,298",11.6 (0.82)
Florida,—2,—2
Georgia,"772,663",9.4 (0.51)
Hawaii,"92,849",8.1 (0.43)
Idaho,"138,516",9.8 (0.46)
Illinois,"860,395",8.7 (0.70)
Indiana,"536,397",10.3 (0.39)
Iowa,"224,466",9.1 (0.41)
Kansas,"235,953",10.6 (0.31)
Kentucky,"408,801",11.7 (0.59)
Louisiana,"344,842",9.7 (0.60)
Maine,"138,396",12.5 (0.47)
Maryland,"451,158",9.4 (0.35)
Massachusetts,"661,306",11.7 (0.52)
Michigan,"908,568",11.5 (0.45)
Minnesota,"387,219",8.8 (0.28)
Mississippi,"226,646",10.0 (0.67)
Missouri,"449,253",9.4 (0.42)
Montana,"83,698",9.7 (0.48)
Nebraska,"122,491",8.2 (0.33)
Nevada,"223,954",9.1 (0.80)
New Hampshire,"136,025",12.1 (0.60)
New Jersey,"646,963",8.9 (0.46)
New Mexico,"173,518",10.6 (0.53)
New York,"1,563,485",9.8 (0.28)
North Carolina,"717,344",8.7 (0.51)
North Dakota,"50,012",8.4 (0.50)
Ohio,"955,568",10.4 (0.38)
Oklahoma,"326,087",10.9 (0.54)
Oregon,"377,851",11.2 (0.53)
Pennsylvania,"1,062,292",10.3 (0.51)
Rhode Island,"111,498",12.6 (0.62)
South Carolina,"372,607",9.2 (0.45)
South Dakota,"55,927",8.3 (0.78)
Tennessee,"558,276",10.3 (0.59)
Texas,"1,854,306",8.4 (0.45)
Utah,"231,080",9.7 (0.38)
Vermont,"61,465",11.8 (0.61)
Virginia,"661,945",9.8 (0.41)
Washington,"641,131",10.5 (0.36)
West Virginia,"171,141",12.1 (0.50)
Wisconsin,"498,228",10.8 (0.59)
Wyoming,"43,188",9.7 (0.67)
Guam,"4,997",4.7 (0.78)
Puerto Rico,"311,148",11.4 (0.66)
Virgin Islands,"3,920",5.0 (1.02)